cigar_id,title,url,brand,line,wrapper,vitola,size,box_qty,price,in_stock,current_promotions_applied
ROMEOYJULIETA|ROMEOYJULIETA|1875|CHURCHILL|CHURCHILL|7x50|IND|BOX25,Churchill,https://www.bnbtobacco.com/products/romeo-y-julieta-1875?variant=33403331075,Romeo y Julieta,1875,Indonesian Shade Grown TBN,Churchill,7x50,25,209.99,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|CLASSIC|CLASSIC|7x48|CAM|BOX25,Classic,https://www.bnbtobacco.com/products/arturo-fuente-hemingway?variant=29429333955,Arturo Fuente,Hemingway,Cameroon,Classic,7x48,25,279.99,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|SIGNATURE|SIGNATURE|6x46|CAM|BOX25,Signature,https://www.bnbtobacco.com/products/arturo-fuente-hemingway?variant=29429334723,Arturo Fuente,Hemingway,Cameroon,Signature,6x46,25,244.99,True,
PERDOMO|PERDOMO|RESERVE10THANNIVERSARYCHAMPAGNE|EPICURE|EPICURE|6x54|ECU|BOX25,Epicure,https://www.bnbtobacco.com/products/perdomo-reserve-10th-anniversary-champagne?variant=33403289347,Perdomo,Reserve 10th Anniversary Champagne,Ecuadorian Connecticut,Epicure,6x54,25,179.99,True,
MYFATHER|MYFATHER|LEBIJOU1922|TORO|TORO|6.5x52|NIC|BOX23,Toro,https://www.bnbtobacco.com/products/my-father-le-bijou-1922?variant=33403225219,My Father,Le Bijou 1922,Nicaraguan Habano Oscuro,Toro,6.5x52,23,229.99,False,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|SHORTSTORY|SHORTSTORY|4x49|CAM|BOX25,Short Story,https://www.bnbtobacco.com/products/arturo-fuente-hemingway?variant=29429334339,Arturo Fuente,Hemingway,Cameroon,Short Story,4x49,25,169.99,True,
ASHTON|ASHTON|VSG|SPELLBOUND|SPELLBOUND|6x50|ECU|BOX24,Spellbound,https://www.bnbtobacco.com/products/ashton-vsg?variant=42257802232005,Ashton,VSG,Ecuadorian Sun Grown,Spellbound,6x50,24,311.99,False,
DREWESTATE|DREWESTATE|LIGAPRIVADANO.9|ROBUSTO|ROBUSTO|5x54|CON|BOX24,Robusto,https://www.bnbtobacco.com/products/liga-privada-no-9?variant=12226941616229,Drew Estate,Liga Privada No. 9,Connecticut Broadleaf Oscuro,Robusto,5x54,24,393.6,True,
OLIVA|OLIVA|SERIEV|BELICOSO|BELICOSO|5.5x54|ECU|BOX24,Belicoso,https://www.bnbtobacco.com/products/oliva-serie-v-natural?variant=33403256259,Oliva,Serie V,Ecuadorian Habano,Belicoso,5.5x54,24,169.99,True,
OLIVA|OLIVA|SERIEV|TORPEDO|TORPEDO|6.5x52|ECU|BOX24,Torpedo,https://www.bnbtobacco.com/products/oliva-serie-v-natural?variant=33403256899,Oliva,Serie V,Ecuadorian Habano,Torpedo,6.5x52,24,219.99,True,
OLIVA|OLIVA|SERIEV|DOUBLEROBUSTO|DOUBLEROBUSTO|5x54|ECU|BOX24,Double Robusto,https://www.bnbtobacco.com/products/oliva-serie-v-natural?variant=33403256515,Oliva,Serie V,Ecuadorian Habano,Double Robusto,5x54,24,187.99,True,
