cigar_id,title,url,brand,line,wrapper,vitola,size,box_qty,price,in_stock,current_promotions_applied
HOYODEMONTERREY|HOYODEMONTERREY|EXCALIBUR|EPICURE|EPICURE|5.25x50|CT|BOX20,Epicure,https://www.planetcigars.com/excalibur/excalibur-epicures-natural,Hoyo de Monterrey,Excalibur,Connecticut Shade,Epicure,5.25x50,20,132.97,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|CLASSIC|CLASSIC|7x48|CAM|BOX25,Classic,https://www.planetcigars.com/cigar-brands/arturo-fuente-hemingway-cigars/arturo-fuente-hemingway-classic-cigars,Arturo Fuente,Hemingway,Cameroon,Classic,7x48,25,256.97,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|BESTSELLER|BESTSELLER|4.5x55|CAM|BOX25,Best Seller,https://www.planetcigars.com/arturo-fuente-hemingway-best-seller-cigars,Arturo Fuente,Hemingway,Cameroon,Best Seller,4.5x55,25,192.97,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|SIGNATURE|SIGNATURE|6x46|CAM|BOX25,Signature,https://www.planetcigars.com/arturo-fuente-hemingway-signature-cigars,Arturo Fuente,Hemingway,Cameroon,Signature,6x46,25,235.97,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|SHORTSTORY|SHORTSTORY|4x49|CAM|BOX25,Short Story,https://www.planetcigars.com/arturo-fuente-hemingway-short-story-cigars?search=hemingway&category_id=0,Arturo Fuente,Hemingway,Cameroon,Short Story,4x49,25,164.97,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|WORKOFART|WORKOFART|4.875x60|CAM|BOX25,Work of Art,https://www.planetcigars.com/arturo-fuente-hemingway-work-of-art-cigars?search=hemingway&category_id=0,Arturo Fuente,Hemingway,Cameroon,Work of Art,4.875x60,25,221.97,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|WORKOFART|WORKOFART|4.875x60|MAD|BOX25,Work of Art,https://www.planetcigars.com/arturo-fuente-hemingway-work-of-art-maduro-cigars?search=hemingway&category_id=0,Arturo Fuente,Hemingway,Maduro,Work of Art,4.875x60,25,264.97,False,
ARTUROFUENTE|ARTUROFUENTE|OPUSX|PERFECXIONNO.5|PERFECXIONNO.5|4.875x40|DOM|BOX42,PerfecXion No. 5,https://www.planetcigars.com/arturo-fuente-opus-x-perfecxion-5-cigars?search=opus%20x&category_id=0,Arturo Fuente,Opus X,Dominican Rosado,PerfecXion No. 5,4.875x40,42,887.97,False,
OLIVA|OLIVA|SERIEV|BELICOSO|BELICOSO|5.5x54|ECU|BOX24,Belicoso,https://www.planetcigars.com/oliva-serie-v-belicoso-cigars?search=oliva%20serie%20v&category_id=0&page=2,Oliva,Serie V,Ecuadorian Habano,Belicoso,5.5x54,24,270.0,True,
OLIVA|OLIVA|SERIEV|DOUBLEROBUSTO|DOUBLEROBUSTO|5x54|ECU|BOX24,Double Robusto,https://www.planetcigars.com/oliva-serie-v-double-robusto-cigars?search=oliva%20serie%20v&category_id=0&page=2,Oliva,Serie V,Ecuadorian Habano,Double Robusto,5x54,24,270.0,True,
OLIVA|OLIVA|SERIEG|ROBUSTO|ROBUSTO|4.5x50|CAM|BOX25,Robusto,https://www.planetcigars.com/oliva-series-g-robusto-cigars?search=oliva%20serie%20v&category_id=0,Oliva,Serie G,Cameroon,Robusto,4.5x50,25,158.97,True,
OLIVA|OLIVA|SERIEG|TORO|TORO|6x50|CAM|BOX25,Toro,https://www.planetcigars.com/oliva-series-g-toro-natural?search=oliva%20serie%20v&category_id=0,Oliva,Serie G,Cameroon,Toro,6x50,25,167.97,True,
ROCKYPATEL|ROCKYPATEL|VINTAGE1990|ROBUSTO|ROBUSTO|5x50|HON|BOX20,Robusto,https://www.planetcigars.com/rocky-patel-vintage-1990-robusto-cigars?search=vintage%201990&category_id=0,Rocky Patel,Vintage 1990,Honduran Broadleaf,Robusto,5x50,20,167.97,True,
ROCKYPATEL|ROCKYPATEL|VINTAGE1990|TORO|TORO|6x52|HON|BOX20,Toro,https://www.planetcigars.com/rocky-patel-vintage-1990-toro-cigars?search=vintage%201990&category_id=0,Rocky Patel,Vintage 1990,Honduran Broadleaf,Toro,6x52,20,176.97,True,
ROCKYPATEL|ROCKYPATEL|VINTAGE1990|TORPEDO|TORPEDO|6.5x52|HON|BOX20,Torpedo,https://www.planetcigars.com/rocky-patel-vintage-1990-torpedo-cigars?search=vintage%201990&category_id=0,Rocky Patel,Vintage 1990,Honduran Broadleaf,Torpedo,6.5x52,20,182.39,True,
ROCKYPATEL|ROCKYPATEL|VINTAGE1990|CHURCHILL|CHURCHILL|7x48|HON|BOX20,Churchill,https://www.planetcigars.com/rocky-patel-vintage-1990-churchill-natural?search=vintage%201990&category_id=0,Rocky Patel,Vintage 1990,Honduran Broadleaf,Churchill,7x48,20,176.97,True,
ROCKYPATEL|ROCKYPATEL|VINTAGE1992|CHURCHILL|CHURCHILL|7x48|ECU|BOX20,Churchill,https://www.planetcigars.com/rocky-patel-vintage-1992-churchill-natural?search=vintage%201992&category_id=0,Rocky Patel,Vintage 1992,Ecuadorian Sumatra,Churchill,7x48,20,168.29,True,
MACANUDO|MACANUDO|CAFE|HYDEPARK|HYDEPARK|5.5x49|CT|BOX25,Hyde Park,https://www.planetcigars.com/macanudo-hyde-park-cafe?search=cafe&category_id=0,Macanudo,Cafe,Connecticut Shade,Hyde Park,5.5x49,25,177.97,True,
ARTUROFUENTE|ARTUROFUENTE|OPUSX|PERFECXIONX|PERFECXIONX|6.25x48|DOM|BOX32,PerfecXion X,,Arturo Fuente,Opus X,Dominican Rosado,PerfecXion X,6.25x48,32,,,
ARTUROFUENTE|ARTUROFUENTE|OPUSX|ROBUSTO|ROBUSTO|5.25x50|DOM|BOX29,Robusto,,Arturo Fuente,Opus X,Dominican Rosado,Robusto,5.25x50,29,,,
ARTUROFUENTE|ARTUROFUENTE|OPUSX|SUPERBELICOSO|SUPERBELICOSO|5.5x52|DOM|BOX29,Super Belicoso,,Arturo Fuente,Opus X,Dominican Rosado,Super Belicoso,5.5x52,29,,,
ARTUROFUENTE|ARTUROFUENTE|OPUSX|FUENTEFUENTE|FUENTEFUENTE|5.625x46|DOM|BOX32,Fuente Fuente,,Arturo Fuente,Opus X,Dominican Rosado,Fuente Fuente,5.625x46,32,,,
DIAMONDCROWN|DIAMONDCROWN|JULIUSCAESER|ROBUSTO|ROBUSTO|5x54|ECU|BOX20,Robusto,,Diamond Crown,Julius Caeser,Ecuadorian Habano,Robusto,5x54,20,,,
DIAMONDCROWN|DIAMONDCROWN|JULIUSCAESER|TORO|TORO|6x54|ECU|BOX20,Toro,,Diamond Crown,Julius Caeser,Ecuadorian Habano,Toro,6x54,20,,,
ARTUROFUENTE|ARTUROFUENTE|OPUSX|PERFECXIONX|PERFECXIONX|6x48|DOM|BOX42,PerfecXion X,,Arturo Fuente,Opus X,Dominican Rosado,PerfecXion X,6x48,42,,,
LAFLORDOMINICANA|LAFLORDOMINICANA|DOUBLELIGERO|CHISEL|CHISEL|6.5x54|MAD|BOX20,Chisel,,La Flor Dominicana,Double Ligero,Maduro,Chisel,6.5x54,20,,,
LAFLORDOMINICANA|LAFLORDOMINICANA|DOUBLELIGERO|CHISEL|CHISEL|6.5x54|ECU|BOX20,Chisel,,La Flor Dominicana,Double Ligero,Ecuadorian Sumatra,Chisel,6.5x54,20,,,
ARTUROFUENTE|ARTUROFUENTE|OPUSX|SUPERBELICOSO|SUPERBELICOSO|5.5x52|DOM|BOX25,Super Belicoso,,Arturo Fuente,Opus X,Dominican Rosado,Super Belicoso,5.5x52,25,,,
ARTUROFUENTE|ARTUROFUENTE|OPUSX|ROBUSTO|ROBUSTO|5.25x50|DOM|BOX10,Robusto,,Arturo Fuente,Opus X,Dominican Rosado,Robusto,5.25x50,10,,,
ARTUROFUENTE|ARTUROFUENTE|OPUSX|ROBUSTO|ROBUSTO|5.25x50|DOM|BOX25,Robusto,,Arturo Fuente,Opus X,Dominican Rosado,Robusto,5.25x50,25,,,
ARTUROFUENTE|ARTUROFUENTE|OPUSX|SUPERBELICOSO|SUPERBELICOSO|5.5x52|DOM|BOX10,Super Belicoso,,Arturo Fuente,Opus X,Dominican Rosado,Super Belicoso,5.5x52,10,,,
